DefaultDate,TimeToDefault,NumberOfCredits
2019-09-23,35.0,10297
2020-01-22,1030.0,10278
2020-07-24,910.0,10253
2021-01-19,2678.0,10231
2021-07-23,1436.0,10196
2021-07-23,534.0,10196
2020-01-22,1132.0,10278
2021-07-23,826.0,10196
2021-07-23,673.0,10196
2021-07-23,735.0,10196
2021-01-19,550.0,10231
2020-07-24,218.0,10253
2021-07-23,2108.0,10196
2021-07-23,704.0,10196
2021-07-23,673.0,10196
2021-07-23,673.0,10196
2020-01-22,34.0,10278
2021-07-23,541.0,10196
2020-07-24,1003.0,10253
2019-10-18,1004.0,10293
2020-07-24,493.0,10253
2020-01-22,248.0,10278
2020-04-17,820.0,10264
2020-07-24,340.0,10253
2022-01-24,889.0,9691
2020-04-17,423.0,10264
2019-08-21,1100.0,10299
2020-07-24,1253.0,10253
2021-01-19,397.0,10231
2020-04-17,1768.0,10264
2019-08-21,1131.0,10299
2019-08-21,856.0,10299
2020-07-24,737.0,10253
2020-10-23,643.0,10244
2020-01-22,430.0,10278
2020-01-22,285.0,10278
2020-07-24,508.0,10253
2021-07-23,9244.0,10196
2020-07-24,1011.0,10253
2020-07-24,828.0,10253
2021-07-23,1162.0,10196
2021-01-19,977.0,10231
2021-10-21,1129.0,10179
2020-10-23,3514.0,10244
2020-10-23,1437.0,10244
2021-07-23,735.0,10196
2020-10-23,462.0,10244
2021-07-23,735.0,10196
2021-01-19,550.0,10231
2020-07-24,371.0,10253
2019-08-21,33.0,10299
2020-07-24,432.0,10253
2021-07-23,956.0,10196
2021-10-21,763.0,10179
2021-07-23,765.0,10196
2019-09-23,4.0,10297
2021-07-23,735.0,10196
2019-10-18,457.0,10293
2021-07-23,612.0,10196
2022-01-24,1621.0,9691
2021-07-23,1192.0,10196
2021-07-23,735.0,10196
2021-07-23,673.0,10196
2021-07-23,643.0,10196
2022-01-24,797.0,9691
2021-07-23,612.0,10196
2020-01-22,34.0,10278
2021-07-23,548.0,10196
2021-07-23,554.0,10196
2021-07-23,542.0,10196
2021-04-21,519.0,10216
2021-07-23,582.0,10196
2021-07-23,826.0,10196
2020-07-24,401.0,10253
2021-07-23,643.0,10196
2021-10-21,702.0,10179
2021-07-23,582.0,10196
2021-07-23,582.0,10196
2021-07-23,563.0,10196
2021-07-23,555.0,10196
2021-07-23,582.0,10196
2020-10-23,705.0,10244
2021-04-21,1221.0,10216
2020-07-24,1774.0,10253
2021-01-19,672.0,10231
2021-01-19,519.0,10231
2021-01-19,361.0,10231
2021-07-23,826.0,10196
2020-10-23,954.0,10244
2021-07-23,582.0,10196
2021-01-19,587.0,10231
2021-07-23,1467.0,10196
2020-01-22,644.0,10278
2021-07-23,885.0,10196
2022-01-24,950.0,9691
2021-04-21,703.0,10216
2021-04-21,672.0,10216
2021-10-21,733.0,10179
2021-07-23,796.0,10196
2021-07-23,643.0,10196
2020-04-17,1127.0,10264
2020-04-17,913.0,10264
2020-04-17,608.0,10264
2021-04-21,764.0,10216
2022-01-24,1042.0,9691
2022-01-24,920.0,9691
2021-07-23,1589.0,10196
2021-07-23,1436.0,10196
2021-07-23,1223.0,10196
2021-07-23,796.0,10196
2021-07-23,582.0,10196
2019-09-23,1255.0,10297
2019-09-23,1561.0,10297
2019-09-23,523.0,10297
2020-07-24,859.0,10253
2021-07-23,582.0,10196
2021-01-19,1066.0,10231
2021-07-23,796.0,10196
2021-01-19,611.0,10231
2021-01-19,458.0,10231
2021-01-19,458.0,10231
2021-07-23,1617.0,10196
2020-07-24,218.0,10253
2020-07-24,887.0,10253
2021-07-23,673.0,10196
2020-04-17,364.0,10264
2020-10-23,858.0,10244
2021-07-23,1314.0,10196
2020-01-22,734.0,10278
2020-01-22,1743.0,10278
2020-01-22,703.0,10278
2020-01-22,278.0,10278
2021-10-21,1068.0,10179
2020-10-23,1255.0,10244
2021-07-23,735.0,10196
2021-07-23,582.0,10196
2019-07-22,33.0,10301
2021-07-23,1436.0,10196
2021-07-23,885.0,10196
2021-07-23,547.0,10196
2021-07-23,916.0,10196
2021-07-23,1344.0,10196
2021-07-23,916.0,10196
2021-04-21,823.0,10216
2021-07-23,1223.0,10196
2020-04-17,882.0,10264
2020-07-24,980.0,10253
2020-07-24,432.0,10253
2021-07-23,643.0,10196
2021-07-23,1771.0,10196
2020-01-22,1041.0,10278
2021-04-21,1282.0,10216
2022-01-24,828.0,9691
2020-07-24,340.0,10253
2020-07-24,340.0,10253
2020-07-24,218.0,10253
2020-07-24,584.0,10253
2021-07-23,582.0,10196
2021-01-19,264.0,10231
2019-10-18,973.0,10293
