DefaultDate,TimeToDefault,NumberOfCredits
2021-08-31,1435.0,434982
2022-01-31,1572.0,434840
2021-07-31,1956.0,434993
2022-01-31,2140.0,434840
2022-04-30,1629.0,431581
2022-02-28,1540.0,434785
2021-02-28,1731.0,435028
2021-05-31,1048.0,435010
2021-05-31,1053.0,435010
2022-04-30,1377.0,431581
2021-04-30,956.0,435020
2022-02-28,1285.0,434785
2022-04-30,1331.0,431581
2021-10-31,1151.0,434942
2022-04-30,1318.0,431581
2022-04-30,1281.0,431581
2021-06-30,961.0,435004
2021-04-30,808.0,435020
2021-04-30,808.0,435020
2022-04-30,1166.0,431581
2022-01-31,1957.0,434840
2021-04-30,763.0,435020
2021-08-31,844.0,434982
2021-10-31,909.0,434942
2021-09-30,878.0,434964
2021-08-31,812.0,434982
2021-05-31,717.0,435010
2021-08-31,802.0,434982
2021-11-30,888.0,434911
2021-06-30,730.0,435004
2022-01-31,937.0,434840
2021-12-31,890.0,434876
2021-09-30,803.0,434964
2021-01-31,559.0,435031
2021-05-31,670.0,435010
2022-04-30,1011.0,431581
2021-10-31,829.0,434942
2021-06-30,702.0,435004
2022-04-30,1008.0,431581
2021-02-28,579.0,435028
2022-04-30,988.0,431581
2021-04-30,613.0,435020
2021-07-31,675.0,434993
2021-12-31,826.0,434876
2021-06-30,630.0,435004
2022-02-28,875.0,434785
2022-04-30,920.0,431581
2022-02-28,846.0,434785
2021-11-30,764.0,434911
2021-06-30,609.0,435004
2022-01-31,822.0,434840
2021-05-31,574.0,435010
2022-02-28,844.0,434785
2021-10-31,704.0,434942
2022-04-30,896.0,431581
2022-01-31,774.0,434840
2022-02-28,801.0,434785
2022-04-30,1893.0,431581
2021-06-30,510.0,435004
2021-08-31,559.0,434982
2022-01-31,700.0,434840
2022-04-30,782.0,431581
2021-05-31,448.0,435010
2021-05-31,445.0,435010
2021-09-30,561.0,434964
2021-06-30,1566.0,435004
2021-08-31,488.0,434982
2021-06-30,455.0,435004
2022-04-30,719.0,431581
2021-10-31,507.0,434942
2021-09-30,472.0,434964
2021-10-31,460.0,434942
2021-05-31,290.0,435010
2022-02-28,560.0,434785
2022-02-28,567.0,434785
2021-09-30,444.0,434964
2021-05-31,308.0,435010
2022-04-30,642.0,431581
2022-01-31,550.0,434840
2021-07-31,1509.0,434993
2021-07-31,1349.0,434993
2021-12-31,1452.0,434876
2021-06-30,1259.0,435004
2022-01-31,1442.0,434840
2021-02-28,1023.0,435028
2022-04-30,1447.0,431581
2021-09-30,1226.0,434964
2022-02-28,1333.0,434785
2021-12-31,2171.0,434876
2022-01-31,1295.0,434840
2021-07-31,1109.0,434993
2021-05-31,1015.0,435010
2022-01-31,2182.0,434840
2020-10-31,2403.0,435034
2022-04-30,1141.0,431581
2022-04-30,1121.0,431581
2021-11-30,957.0,434911
2021-03-31,687.0,435026
2021-03-31,686.0,435026
2021-06-30,2604.0,435004
2021-05-31,713.0,435010
2021-10-31,865.0,434942
2021-09-30,827.0,434964
2021-11-30,851.0,434911
2022-04-30,1011.0,431581
2022-01-31,929.0,434840
2021-02-28,580.0,435028
2021-11-30,846.0,434911
2021-07-31,712.0,434993
2022-02-28,916.0,434785
2022-04-30,974.0,431581
2021-06-30,663.0,435004
2022-04-30,964.0,431581
2021-12-31,2008.0,434876
2022-02-28,882.0,434785
2021-08-31,684.0,434982
2021-07-31,649.0,434993
2021-06-30,615.0,435004
2022-01-31,819.0,434840
2022-02-28,809.0,434785
2022-04-30,855.0,431581
2022-04-30,855.0,431581
2021-08-31,624.0,434982
2022-04-30,855.0,431581
2021-04-30,462.0,435020
2021-11-30,650.0,434911
2021-07-31,526.0,434993
2021-07-31,526.0,434993
2021-12-31,674.0,434876
2021-11-30,614.0,434911
2022-04-30,719.0,431581
