DefaultDate,TimeToDefault,NumberOfCredits
2021-11-30,2015.0,71480
2020-07-31,1506.0,125117
2020-04-30,1445.0,128489
2021-08-31,1463.0,80584
2021-03-31,1254.0,96388
2020-12-31,1625.0,104856
2021-02-28,699.0,99543
2021-04-30,681.0,93689
2021-08-31,2658.0,80584
2020-09-30,1904.0,122514
2021-04-30,2555.0,93689
2022-02-28,1743.0,61037
2020-06-30,1694.0,126484
2021-01-31,1871.0,102740
2020-02-29,2173.0,130217
2021-05-31,2575.0,90388
2021-12-31,1523.0,68219
2020-02-29,659.0,130217
2020-06-30,2226.0,126484
2021-07-31,2609.0,83480
2021-09-30,1885.0,77761
2020-05-31,1340.0,127607
2021-11-30,1915.0,71480
2021-03-31,770.0,96388
2021-10-31,2648.0,75011
2021-06-30,1493.0,86842
2022-02-28,2617.0,61037
2022-03-31,2050.0,56601
2021-10-31,2594.0,75011
2021-05-31,1748.0,90388
2021-08-31,1819.0,80584
2021-04-30,1670.0,93689
2022-03-31,2816.0,56601
2020-11-30,2301.0,107955
2021-10-31,2609.0,75011
2021-04-30,1757.0,93689
2021-11-30,2091.0,71480
2022-03-31,1270.0,56601
2021-05-31,1718.0,90388
2020-07-31,1376.0,125117
2021-08-31,1763.0,80584
2021-08-31,1050.0,80584
2021-03-31,1612.0,96388
2021-11-30,1852.0,71480
2021-06-30,1694.0,86842
2020-10-31,919.0,110549
2022-03-31,2712.0,56601
2021-06-30,740.0,86842
2021-03-31,2311.0,96388
2020-10-31,2147.0,110549
2022-01-31,1203.0,65377
2021-01-31,2197.0,102740
2021-06-30,2347.0,86842
2020-08-31,1405.0,123811
2020-11-30,1775.0,107955
2022-03-31,1955.0,56601
2021-10-31,1783.0,75011
2021-07-31,2353.0,83480
2020-07-31,2019.0,125117
2021-01-31,2026.0,102740
2020-08-31,1799.0,123811
2021-05-31,2315.0,90388
2020-08-31,754.0,123811
2021-02-28,706.0,99543
2022-02-28,2558.0,61037
2021-08-31,1166.0,80584
2021-07-31,1310.0,83480
2021-03-31,1568.0,96388
2020-10-31,627.0,110549
2021-07-31,2235.0,83480
2020-05-31,1781.0,127607
2022-01-31,1838.0,65377
2020-09-30,1944.0,122514
2020-11-30,909.0,107955
2021-05-31,951.0,90388
2021-05-31,738.0,90388
2021-08-31,1063.0,80584
2021-04-30,1159.0,93689
2021-09-30,1702.0,77761
2021-02-28,1476.0,99543
2021-03-31,1034.0,96388
2022-03-31,2443.0,56601
2021-03-31,1370.0,96388
2020-11-30,1319.0,107955
2020-08-31,1257.0,123811
2021-07-31,1275.0,83480
2021-05-31,809.0,90388
2022-02-28,2425.0,61037
2021-10-31,2280.0,75011
2021-03-31,1517.0,96388
2021-08-31,1630.0,80584
2020-10-31,1326.0,110549
2022-03-31,2358.0,56601
2021-11-30,1679.0,71480
2021-02-28,881.0,99543
2020-10-31,1871.0,110549
2021-07-31,1138.0,83480
2021-10-31,2203.0,75011
2020-07-31,1746.0,125117
2021-06-30,2116.0,86842
2020-12-31,1893.0,104856
2022-01-31,1740.0,65377
2021-09-30,1577.0,77761
2021-03-31,1938.0,96388
2021-04-30,1955.0,93689
2021-03-31,1685.0,96388
2021-05-31,1774.0,90388
2021-04-30,1109.0,93689
2022-02-28,1442.0,61037
2020-08-31,1201.0,123811
2021-07-31,1922.0,83480
2022-02-28,1455.0,61037
2021-11-30,2190.0,71480
2020-09-30,1748.0,122514
2020-11-30,1847.0,107955
2020-10-31,1552.0,110549
2020-07-31,862.0,125117
2021-05-31,1445.0,90388
2020-08-31,1166.0,123811
2020-09-30,1184.0,122514
2021-06-30,1989.0,86842
2021-09-30,1966.0,77761
2020-11-30,1754.0,107955
2020-09-30,1499.0,122514
2021-12-31,2129.0,68219
2020-08-31,1168.0,123811
2020-04-30,1042.0,128489
2020-09-30,1182.0,122514
2021-03-31,1902.0,96388
2021-02-28,1839.0,99543
2021-03-31,1920.0,96388
2021-09-30,2071.0,77761
2021-04-30,1908.0,93689
2020-10-31,1720.0,110549
2022-02-28,2237.0,61037
2021-07-31,2003.0,83480
2021-01-31,1854.0,102740
2021-02-28,1570.0,99543
2021-07-31,1340.0,83480
2021-07-31,1566.0,83480
2021-05-31,1918.0,90388
2021-11-30,1587.0,71480
2021-12-31,1295.0,68219
2021-04-30,1283.0,93689
2021-04-30,694.0,93689
2021-09-30,1998.0,77761
2021-10-31,2018.0,75011
2020-08-31,1118.0,123811
2022-03-31,1674.0,56601
2020-09-30,1652.0,122514
2020-09-30,1652.0,122514
2021-12-31,2101.0,68219
2021-05-31,1880.0,90388
2020-10-31,1668.0,110549
2021-11-30,2078.0,71480
2020-08-31,1608.0,123811
2021-05-31,1903.0,90388
2021-02-28,1353.0,99543
2020-10-31,1669.0,110549
2020-11-30,1686.0,107955
2021-09-30,1337.0,77761
2020-07-31,1058.0,125117
2021-01-31,1732.0,102740
2021-12-31,2066.0,68219
2022-01-31,2075.0,65377
2022-02-28,2110.0,61037
2022-02-28,2104.0,61037
2020-09-30,1141.0,122514
2020-10-31,1594.0,110549
2020-11-30,1624.0,107955
2021-05-31,1348.0,90388
2020-08-31,858.0,123811
2021-03-31,1454.0,96388
2020-11-30,1650.0,107955
2021-08-31,1953.0,80584
2021-04-30,1816.0,93689
2020-09-30,1604.0,122514
2021-03-31,1511.0,96388
2021-11-30,2031.0,71480
2020-11-30,1657.0,107955
2021-06-30,1198.0,86842
2021-03-31,1619.0,96388
2022-03-31,2137.0,56601
2022-01-31,2072.0,65377
2021-03-31,1762.0,96388
2020-05-31,1439.0,127607
2022-01-31,1558.0,65377
2022-01-31,1558.0,65377
2021-06-30,1825.0,86842
2020-06-30,1460.0,126484
2021-05-31,1042.0,90388
2021-07-31,1369.0,83480
2021-02-28,1707.0,99543
2020-04-30,1403.0,128489
2021-01-31,1656.0,102740
2021-05-31,853.0,90388
2022-03-31,1298.0,56601
2020-10-31,1205.0,110549
2021-12-31,1998.0,68219
2021-03-31,1710.0,96388
2022-01-31,1125.0,65377
2021-08-31,1866.0,80584
2020-12-31,1610.0,104856
2020-11-30,1580.0,107955
2021-04-30,1767.0,93689
2021-04-30,1418.0,93689
2020-12-31,1134.0,104856
2022-01-31,1249.0,65377
2021-05-31,1707.0,90388
2020-04-30,1297.0,128489
2021-10-31,1846.0,75011
2021-08-31,895.0,80584
2021-07-31,1097.0,83480
2021-08-31,1827.0,80584
2021-03-31,1080.0,96388
2020-12-31,1591.0,104856
2020-11-30,1385.0,107955
2021-01-31,1623.0,102740
2020-06-30,1394.0,126484
2021-11-30,1882.0,71480
2020-07-31,1395.0,125117
2022-02-28,1960.0,61037
2021-07-31,1744.0,83480
2021-02-28,1563.0,99543
2020-11-30,1057.0,107955
2020-07-31,1012.0,125117
2021-10-31,1818.0,75011
2021-03-31,1604.0,96388
2021-10-31,1829.0,75011
2022-03-31,1493.0,56601
2020-08-31,945.0,123811
2020-05-31,853.0,127607
2022-01-31,1463.0,65377
2021-03-31,1148.0,96388
2022-03-31,1949.0,56601
2021-01-31,1334.0,102740
2021-08-31,1005.0,80584
2021-04-30,1590.0,93689
2021-07-31,893.0,83480
2021-07-31,1726.0,83480
2020-04-30,686.0,128489
2021-05-31,1644.0,90388
2021-02-28,1452.0,99543
2021-12-31,1855.0,68219
2021-10-31,1794.0,75011
2020-05-31,1249.0,127607
2021-03-31,1541.0,96388
2021-03-31,1520.0,96388
2021-10-31,1724.0,75011
2022-03-31,1875.0,56601
2021-02-28,1103.0,99543
2021-04-30,1162.0,93689
2022-03-31,1492.0,56601
2021-06-30,1624.0,86842
2020-10-31,1361.0,110549
